,yield,Maturities,DiscountFactor
0,1.185350277777638,0,1.0
1,1.2548861317225768,4,0.9510435293768069
2,1.3096485690065496,8,0.9005299230726167
3,1.3538566093220128,12,0.850047717261588
4,1.390846920906941,16,0.8004865830922452
5,1.4225550857797975,20,0.752382066307766
6,1.4500479477679518,24,0.7060907508535194
7,1.4739938506411976,28,0.6618487137903014
8,1.5491589195409716,32,0.6091255625670072
9,1.5707967076757259,36,0.5680835279837639
10,1.5897020603309553,40,0.5294689138660369
11,1.6067689462559764,44,0.49313202758893254
12,1.621128581051945,48,0.45925865050618914
13,1.6335496502107416,52,0.42765186320914844
14,1.6442494639709038,56,0.39820843696316194
15,1.6534224407035891,60,0.37081445438767996
16,1.66119329306622,64,0.3453614574818618
17,1.6676867337162147,68,0.32173502403754445
18,1.6730274753109953,72,0.2998179618827516
19,1.677340230507987,76,0.27949284802216084
20,1.6807497119646087,80,0.260644004648827
21,1.6833806323382987,84,0.24315899938344782
22,1.6853577042864174,88,0.22692975022476727
23,1.6868056404664458,92,0.2118533075721709
24,1.687849153535808,96,0.19783237705009427
25,1.6886129561519283,100,0.18477563824337925
26,1.6892217609721456,104,0.172597906188599
27,1.68980028065414,108,0.16122017476583314
28,1.6904732278546817,112,0.15056957410582006
29,1.691365315232133,116,0.14057926780012903
