DATE,datealt,factor1,factor2
1953-03-31,1953.25,-3.4184939993958676,-0.7368713526371689
1953-06-30,1953.5,-2.624263289476311,0.1452340809875471
1953-09-30,1953.75,3.140977171533564,0.8410943697057672
1953-12-31,1954.0,3.1085298792808502,-0.36525468417088425
1954-03-31,1954.25,5.098851924311941,0.5211547987805332
1954-06-30,1954.5,0.513029835510988,-0.44520222517582847
1954-09-30,1954.75,-1.395467754805008,0.8776567272400636
1954-12-31,1955.0,-2.3045837519873102,0.09133777552157438
1955-03-31,1955.25,-4.135735854195226,0.45813790289602074
1955-06-30,1955.5,-2.3601101070340214,0.14552935181886817
1955-09-30,1955.75,-1.9496596605730252,0.38449858383854135
1955-12-31,1956.0,-2.2118445621930034,0.7501588972932998
1956-03-31,1956.25,-2.2332766930186034,-0.20925243244282185
1956-06-30,1956.5,0.2371455098977822,0.8499973047611424
1956-09-30,1956.75,-6.924785786350753,0.3572812821641291
1956-12-31,1957.0,-4.902701214280568,-2.5970716582831934
1957-03-31,1957.25,3.2676196427580173,2.0654627063718287
1957-06-30,1957.5,-8.009228015336388,-2.0105668958203298
1957-09-30,1957.75,-1.3314279811702308,0.332835917443681
1957-12-31,1958.0,14.005301919883834,-0.518545019004113
1958-03-31,1958.25,4.434175819299957,-0.6795332288734569
1958-06-30,1958.5,-0.46918237404325047,-1.9472651742150429
1958-09-30,1958.75,-13.818049388786054,1.6557761130538797
1958-12-31,1959.0,-1.9674817796155133,-2.2125437700517057
1959-03-31,1959.25,-2.567861424497988,0.7682228638056177
1959-06-30,1959.5,-6.089296966040421,0.016560590739800315
1959-09-30,1959.75,-4.516695423854441,0.6828070680622742
1959-12-31,1960.0,-2.895748443497786,-1.8003643575269868
1960-03-31,1960.25,10.252860252915834,0.05659415545008139
1960-06-30,1960.5,2.284599809779359,-0.7544294359950365
1960-09-30,1960.75,4.986189825147315,-0.2679601066451474
1960-12-31,1961.0,1.0318900454456592,-1.543064647904
1961-03-31,1961.25,-1.9190517312937365,0.4113863442411928
1961-06-30,1961.5,-2.6750092438342086,0.4381030511965602
