DATE,factor,hprx6m,hprx12m,hprx18m,hprx24m,hprx30m,hprx36m,hprx42m,hprx48m,hprx54m,hprx60m,hprx510yr,datealt
1953-03-31,4.386894710081393,,,,,,,,,,,,1953.0
1953-06-30,4.14729097615203,0.12083665495161153,0.20732506381118887,0.3035516552003632,0.29174755265097496,0.30827798598475714,0.3646046606104142,0.44196407262305554,0.4532094744438341,0.4103831706819019,0.4982542617989004,0.4848116251765286,1953.25
1953-09-30,4.258057593174763,0.14078085115192618,0.19002518263266197,0.2834687622080621,0.29007693744735186,0.29548615069334744,0.4588655344913835,0.5712862393756687,0.4659205741566306,0.37988902841150907,0.4747897764453555,0.39005745525400626,1953.5
1953-12-31,4.332494544878582,0.14517192873647758,0.1814281439175821,0.2673382568442909,0.2816626973519772,0.2853037252773894,0.4371943951943242,0.5413487923411132,0.4843876580674714,0.36821694682570183,0.4540031388846512,0.336052180470824,1953.75
1954-03-31,4.889586106892681,0.15417309166963866,0.17775014131559283,0.31058408482440136,0.2750218162137061,0.2829681541927261,0.4082855085936655,0.5005577333995849,0.46774444726970865,0.3648640086645171,0.43820825707768274,0.587133071117241,1954.0
1954-06-30,4.471821545145389,0.13874063319374352,0.17652373111523229,0.3315781996895828,0.3283221662747116,0.3345047967694507,0.3906275095259797,0.4648762173100378,0.44774580343353043,0.36347929257225575,0.4184637305924825,0.4275151284599404,1954.25
1954-09-30,4.1116314939712275,0.13246802917836775,0.18775458875509057,0.31372001772663216,0.3216967588024336,0.3312130702116992,0.3979010914035289,0.44427594454652913,0.43587420520015235,0.37713139394428513,0.3961088702311724,0.32328847078055795,1954.5
1954-12-31,3.891824273895728,0.13573928844100214,0.1984993370631149,0.30904088935123925,0.31307104272965114,0.31969133889394685,0.39217823458418166,0.41739356619678836,0.42851584279166177,0.3767983897173529,0.380999928723247,0.2596178816576319,1954.75
1955-03-31,4.0258664368287915,0.13562788486906374,0.18079594504161609,0.3102811635822023,0.30039473801975625,0.3388902959530067,0.3839145362755539,0.39732674323911216,0.42144099030522014,0.37001856206250044,0.3652486048778968,0.31397238461428867,1955.0
1955-06-30,3.830096061363893,0.12707270258467834,0.16690044728820372,0.29983263683440775,0.290033764556476,0.32305629712969935,0.3699835838555708,0.3815299039724503,0.42227073737761844,0.40857644861423037,0.35450669477335867,0.2634000582287153,1955.25
1955-09-30,3.6327951285734734,0.16382192247309976,0.1766367552646182,0.283132774715899,0.28378555318952714,0.35239739825008587,0.35861742425456683,0.3644110757192369,0.4137698525457759,0.3819721012803782,0.34808643355069246,0.24957200445008862,1955.5
1955-12-31,3.5047826595951768,0.1660676213801055,0.2257190109106143,0.29606277931374403,0.294383600351072,0.34877219146720223,0.3795839006155825,0.37006577279470176,0.4103636751713644,0.4276706914941854,0.42579054853520526,0.25123428990540037,1955.75
1956-03-31,3.4079620140037914,0.14905462508106587,0.25376732719328143,0.30297888827303465,0.28538297452943096,0.3295477405739578,0.3655090014770981,0.3654491201891193,0.4102179884724394,0.39202008515022074,0.4029251507371937,0.2632843872004176,1956.0
1956-06-30,3.2596654110160537,0.16185411974714606,0.23541384348908928,0.28731061218189563,0.28829526026243885,0.3181207444774407,0.36100009377553405,0.44153293180454334,0.4392963553133304,0.6007609016650322,0.501039536825363,0.2574462330751499,1956.25
1956-09-30,4.432134739443219,0.15210807446394783,0.2190716931027408,0.3351805617405019,0.2807674861620177,0.3123432313741187,0.3725569393462211,0.4173349981327173,0.5016114562058768,0.49380419652529783,0.5276215257635289,0.3440351124825226,1956.5
1956-12-31,4.591363175029804,0.14676690584281527,0.21069914288242064,0.3573985013449864,0.28242836885566386,0.3485024266236561,0.37887235105948663,0.47006122240097964,0.5224591130676207,0.7276658316041509,0.6029945466135218,0.2757642538578507,1956.75
1957-03-31,4.613746027062733,0.13525474234829943,0.23648942238150816,0.33391715205398365,0.28378029687711337,0.3879918142348786,0.36816509485352034,0.49262987244473644,0.5964529968464577,0.8916805899570774,0.6151710961420414,0.24238380102760274,1957.0
1957-06-30,5.599632541212112,0.12597186830168666,0.2772612173157749,0.3588349285043054,0.3599593050726093,0.43681365010396267,0.46399686955857367,0.5410287530499949,0.5784596172817053,0.6245081402749972,0.6164052933775228,0.265754273776938,1957.25
1957-09-30,5.04145669784992,0.118833220736543,0.2700649523587017,0.37806777694423427,0.351291888830987,0.4038706335085438,0.46159085193845056,0.5051692878486121,0.5676545543370431,0.45587828785786655,0.572976606233751,0.30076431692466205,1957.5
1957-12-31,8.59464058166271,0.1134767692830226,0.274290903508113,0.3769107523631281,0.4478686184080605,0.3756684113864599,0.42984341495358863,0.5158123676454272,0.5405130264268613,0.3946454187776837,0.959875721228072,0.3584532309118056,1957.75
1958-03-31,7.9708392209767425,0.20294326163937867,0.3687924614082858,0.42518580428938213,0.4626869036649002,0.3969565749566147,0.49693041482227013,0.49085077752722756,0.5307735019756268,0.37093049774758535,0.8804126788626954,0.33063673466981197,1958.0
1958-06-30,7.033325866485644,0.17428308619740385,0.43422402675888716,0.5705052433628738,0.515151206858756,0.47213811658005467,0.5356914415052139,0.48924703029684036,0.4908693031243386,0.37533883231900034,0.8062940933144473,0.3788630875209507,1958.25
1958-09-30,9.072518836375387,0.17945738355984336,0.3851552497874922,0.5986428267220864,0.5264321460441577,0.4955324714762299,0.484006511620844,0.4950926989398911,0.46359854571063847,0.49072206965524845,0.7771992335416842,0.2986128003978661,1958.5
1958-12-31,8.002192773914032,0.15535862632112046,0.3366483966463618,0.5303513053608734,0.5567049874530489,0.4939195899955925,0.45770900069658177,0.5201908719514183,0.4759113075405015,0.6168880831075663,0.7292505415021805,0.35240032065061333,1958.75
1959-03-31,7.12739839136903,0.1376704428179436,0.30777148298437124,0.4665357632898466,0.5558080658785343,0.452876292468946,0.44609038019434666,0.5322177010624372,0.5284096796369031,0.4789682892004005,0.6722283566177044,0.3490721071266513,1959.0
1959-06-30,6.883197562004576,0.1263902053998608,0.27573979286845157,0.4227335273321853,0.5175035484929386,0.4177744358958386,0.4465286612141918,0.4950139329398734,0.4963435999378346,0.42728886422987533,0.6380870752602098,0.2742692901455013,1959.25
1959-09-30,6.413449138477799,0.11919679816962589,0.264854318044338,0.469246898244882,0.4846101911451776,0.39870915575951477,0.4777973116733369,0.4708888174952139,0.470890695466135,0.39470570962297713,0.6166657940541211,0.23981205803627195,1959.5
1959-12-31,5.825602487449527,0.1178639462462537,0.26628012789690597,0.5030669511920216,0.48320418376561425,0.3771175808485644,0.5724780836632081,0.45654485246531923,0.45651565073380035,1.1108832094015944,0.594970498584389,0.25081450837257,1959.75
1960-03-31,7.517847251770008,0.1181115660954774,0.25232519095704253,0.4663032829310089,0.4591107198548781,0.35424176631051274,0.5370453874426211,0.47900864510230834,0.4395399495835716,0.8266246865820445,0.643007595362216,0.23629035987980168,1960.0
1960-06-30,6.8017123466328995,0.18685588743390458,0.27792835562105844,0.42792013834878456,0.4374394889768334,0.35162734991008243,0.4933877258923218,0.4790897555672873,0.4322468691056275,0.5887180111434095,0.5944513372483983,0.3433186489980913,1960.25
1960-09-30,6.652075838919809,0.1992520443763279,0.3192470737161354,0.3925596527689311,0.44263178823409977,0.3410890155600947,0.45536731586315676,0.45446315653722047,0.43163643156642784,0.46081465319254866,0.5501141685170362,0.2854396147029061,1960.5
1960-12-31,5.969677082336223,0.19144572219814213,0.2939177085494804,0.35879809277066965,0.423187059397232,0.3341140354771228,0.4520395882007475,0.4675462070810703,0.43260737342106453,0.5078215712132387,0.5885206614630167,0.2602096371917862,1960.75
1961-03-31,5.378845947893185,0.16451717316591868,0.26338926746324137,0.3303692210739986,0.4121567433912329,0.3170781683790406,0.42163389493079595,0.4379607265432672,0.45125519005424314,0.45885710409454855,0.5810827793997762,0.31480395772380887,1961.0
1961-06-30,4.952842949247536,0.15917371600490768,0.2422868668801253,0.3237201106499789,0.38388620072704116,0.3095036895533858,0.3963162411818256,0.41154917758982346,0.43401991994559586,0.4102166137462683,0.6281506782529028,0.296065578037039,1961.25
1961-09-30,4.49527763051664,0.1416845162083634,0.23158834090799696,0.3137571528149087,0.36015306680764314,0.30603067379178706,0.37780553182124926,0.38942823722785236,0.4233299422576378,0.4994190422602921,0.5833975844464391,0.313114887372879,1961.5
1961-12-31,4.167238132344113,0.12831201435128933,0.2043640540805109,0.2959036919607199,0.3521455127158455,0.322138385984931,0.3809932084422809,0.3848831146878402,0.4178602144366859,0.596346329417454,0.5413480880439484,0.3619594507320078,1961.75
1962-03-31,4.335527229964344,0.11866152530612452,0.18694269267916416,0.28008064138895794,0.3330726628573806,0.3080265433049145,0.3704625490716843,0.37628428187518137,0.6247231775547538,0.4712954353595878,0.537037092286841,0.42116002836802713,1962.0
1962-06-30,4.158537225507019,0.11448491828960934,0.17537570554107904,0.265111421552258,0.3318690368148321,0.3018786127525934,0.38125998714748704,0.36179378999977785,0.9211795029732527,0.4645371243105357,0.9174262355046144,0.4106388095363633,1962.25
1962-09-30,3.966397968648849,0.10913584566933603,0.16619202658074753,0.25789015344545785,0.3327007151687387,0.30420614031639126,0.3745162572137755,0.34771820062283837,0.7950872423862646,0.40254105251820077,0.9544843157280616,0.3200188239394361,1962.5
1962-12-31,3.6802973759927555,0.10843381964706145,0.16687015113281434,0.256833983536164,0.34719184290643473,0.3044237606446384,0.3801020771962356,0.3402974664133709,0.6910862481364389,0.4208096805494626,0.951657928730459,0.6922936103919975,1962.75
1963-03-31,3.4979238342019765,0.10539595051590887,0.16594382038264763,0.2740357081715579,0.33930319062255654,0.31614059344346246,0.38227737281303353,0.3474064041428047,0.6135887734472987,0.40154009391999024,0.8695613375060026,0.4827231192111422,1963.0
1963-06-30,3.379441654496407,0.10399609723277001,0.15619465011981817,0.29022406467681094,0.3225404740903886,0.3027814939848502,0.3682179202623858,0.34377396951330236,0.5534937646730685,0.37821552712163864,0.7966718690073606,0.3729124502157295,1963.25
1963-09-30,3.3290967293962184,0.10656902972120197,0.1602380524331479,0.3028112780925434,0.32434765013952943,0.32584896021920573,0.3575767936248518,0.3377777382288425,0.5077477097587852,0.3791611478211893,0.7337141191775142,0.36234876221086,1963.5
1963-12-31,3.3076465112545153,0.10614610027127129,0.16784535445051893,0.30181791051686063,0.33863423189847497,0.3178843731822416,0.3555582045589783,0.33046013730329943,0.47476504154195,0.36825096646120564,0.6740809408738381,0.35793949022778243,1963.75
1964-03-31,3.2826716617845038,0.10493980598431964,0.15972208201666718,0.28666211143803677,0.32153248908117843,0.3044814052905743,0.35360945229543667,0.3218505546281909,0.4531191281985559,0.3642482855923162,0.6207989095955887,0.2819351606750829,1964.0
1964-06-30,3.1658309075367077,0.1049833109229562,0.15146155290256796,0.27740694066753446,0.3234395221118743,0.32148953559198545,0.38523307073406693,0.36234520115262586,0.44801200359508947,0.4470650529948545,0.5862914260370776,0.4140163835953268,1964.25
1964-09-30,3.081065559500598,0.10740730417481546,0.1465899693195068,0.26759848953591236,0.30914146649943275,0.3064719639584967,0.3793475220710828,0.35091381655099285,0.46858810271709445,0.4447001997738264,0.5577008715086316,0.37486663451043506,1964.5
1964-12-31,3.039167077435721,0.14873786945452164,0.14588048559727707,0.25540297428962194,0.30136294115893253,0.294865881933136,0.36992306134781355,0.343247185018056,0.46128014348038787,0.40594171859024175,0.5195899849392016,0.2998881431536777,1964.75
1965-03-31,3.0146813911845074,0.13271079960279078,0.15265473790501513,0.24761250585555367,0.2915624911241842,0.28802700236107426,0.35976940840528354,0.3399111992008842,0.44772745716820717,0.44149073626096447,0.4923587858636425,0.4312033790984021,1965.0
