tmduratn_bin,omega_US
1.0,10.322126891541973
2.0,6.426250888950299
3.0,3.6757666845340484
4.0,3.6360952366013826
5.0,3.01474807300163
6.0,3.138233363463465
7.0,3.0631374608619213
8.0,3.0634463078710445
9.0,2.529331995991246
10.0,2.7284384040951504
11.0,2.6556960638078304
12.0,2.831298154794963
13.0,2.2152420786201095
14.0,2.594004829065468
15.0,2.2178101860612562
16.0,2.544482995238935
17.0,2.4774338445588437
18.0,2.4721715805781086
19.0,2.4627941697355564
20.0,1.8202912511313794
21.0,1.4912085012955287
22.0,1.439513892890904
23.0,1.6480581808156474
24.0,1.4023923957228062
25.0,1.6191259578212236
26.0,1.6193358662757635
27.0,1.2673275345117745
28.0,1.0039124473433685
29.0,0.7398044395935525
30.0,0.7230571917091104
31.0,0.6881385699893228
32.0,0.8995759358289237
33.0,0.8663237372516199
34.0,0.8476395955151174
35.0,0.8867945866879696
36.0,0.818576853733551
37.0,0.5127598723817871
38.0,0.32404865235902036
39.0,0.28576098526239974
40.0,0.32079860398358456
41.0,0.1373238064480519
42.0,0.13816225600482562
43.0,0.08557220781095765
44.0,0.08546245997720085
45.0,0.12277051817080402
46.0,0.11194711465795348
47.0,0.09910735520644282
48.0,0.0988284339545548
49.0,0.09622654111622105
50.0,0.1074411373844113
51.0,0.10932935248860699
52.0,0.10889188538321938
53.0,0.07267938052833597
55.0,0.04031512322205891
56.0,0.03431079984823382
57.0,0.17708836656655563
58.0,0.1410280403525942
59.0,0.2844601376925472
60.0,0.07392609506053555
61.0,0.12919735594502751
62.0,0.4693564599340649
63.0,0.2557632299561402
64.0,0.6895757449469372
65.0,0.9850005789953973
66.0,0.7285279187264804
67.0,0.7143683685512817
68.0,0.45083752966905294
69.0,0.10007875561761462
70.0,0.2828604091051343
71.0,0.20628879105953993
72.0,0.22284373255507786
73.0,0.5047574329106745
74.0,0.815896175378195
75.0,0.8043870220447288
76.0,0.7193080712196075
77.0,0.6034887974806207
78.0,0.4391532504916408
79.0,0.3857141843423803
80.0,0.3530127374287931
81.0,0.3616638246279267
82.0,0.3740825424459727
83.0,0.19761296238742573
84.0,0.09435762726638788
85.0,0.13913420442354182
86.0,0.1212298478067287
88.0,0.026472531422051082
93.0,0.025435442615363978
94.0,0.03988557527792081
95.0,0.0395165030255615
96.0,0.038481730388341864
97.0,0.05248438912103534
98.0,0.06278299632122022
99.0,0.06218625099968281
100.0,0.06051819904181353
101.0,0.048110189007827917
102.0,0.045016773696212126
103.0,0.0441525176651327
104.0,0.042573407533316995
105.0,0.04059752425036986
106.0,0.0427902750332632
107.0,0.04193330989952432
108.0,0.0402593545582521
109.0,0.04455719242916329
110.0,0.0499932346976959
111.0,0.0491152508901933
112.0,0.04740339904604442
113.0,0.04228324853882802
114.0,0.04298591190378277
115.0,0.04218893923425276
116.0,0.040457152353024134
117.0,0.03834772785559799
118.0,0.033453633174103305
119.0,0.025947743881465125
120.0,0.017597443105160895
