KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMEWRETD
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/29/1955,0.000576576
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1955,0.001910459
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1955,0.000811367
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/29/1955,0.000461667
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1955,0.000882144
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1955,0.001465748
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1955,0.002150852
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1955,0.000784395
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/30/1955,0.001517709
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1956,0.002770544
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/29/1956,0.001553875
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/29/1956,0.002220168
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1956,0.000751571
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1956,0.002502972
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/29/1956,0.002334218
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1956,0.001409176
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1956,0.001163687
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/28/1956,0.001633176
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1956,0.002776397
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1956,0.001221709
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1956,0.002064821
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1957,0.004086525
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1957,0.001642288
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/29/1957,0.003172748
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1957,0.002111326
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1957,0.001856989
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/27/1957,0.00174765
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1957,0.003135536
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/30/1957,0.002762769
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1957,0.002679122
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1957,0.003454176
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/29/1957,0.0048275
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1957,0.004261933
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1958,0.006099451
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1958,0.000935296
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1958,0.001916626
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1958,0.001729667
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/29/1958,0.002234329
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1958,-0.000683226
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1958,0.000929429
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/29/1958,-0.003191388
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1958,0.001528795
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1958,0.003226004
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/28/1958,0.001812893
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1958,0.002070488
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/30/1959,0.002039315
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/27/1959,0.002269233
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1959,0.002840201
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1959,0.001723555
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/29/1959,0.002363487
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1959,0.002806336
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1959,0.00338619
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1959,0.001922041
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1959,0.002762727
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/30/1959,0.004955444
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1959,0.001010803
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1959,0.003974209
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/29/1960,0.005568394
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/29/1960,0.002455088
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1960,0.005991724
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/29/1960,0.002428481
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1960,0.003385224
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1960,0.005329188
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/29/1960,0.001959657
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1960,0.002014344
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1960,0.0018187
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1960,0.003298508
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1960,0.001370075
