KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMEWRETD
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1967,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/28/1967,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1967,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1967,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1967,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1967,-0.004120542
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/29/1967,0.005173378
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1967,-0.004437335
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1967,0.005281469
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/29/1967,0.001626152
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1968,0.012918713
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/29/1968,0.002264815
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/29/1968,0.001678918
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1968,0.003306142
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1968,0.002419773
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/28/1968,0.008807092
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1968,0.014104793
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/30/1968,0.005411135
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1968,0.003570611
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1968,0.001854765
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/29/1968,0.003377902
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1968,-0.011870878
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1969,0.008655402
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1969,-0.001963808
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/28/1969,0.010941701
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1969,0.004958358
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/29/1969,-0.005670282
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1969,-0.005528338
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1969,-0.000683522
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/29/1969,0.005596383
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1969,-0.007270691
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1969,0.019781943
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/28/1969,-0.000882819
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1969,-0.007624713
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/30/1970,0.010396517
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/27/1970,0.028792456
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1970,0.010982204
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1970,-0.010303918
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/29/1970,0.003149071
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1970,0.0120373
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1970,0.012977027
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1970,0.00672772
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1970,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/30/1970,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1970,0.028553294
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1970,0.004518482
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/29/1971,0.020034576
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/26/1971,0.013529079
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1971,0.009789348
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1971,-0.018760721
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/28/1971,-0.000740219
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1971,-0.011543973
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/30/1971,0.008996452
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1971,0.028267742
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1971,0.006019262
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/29/1971,0.014366226
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1971,0.003171785
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1971,0.010030226
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1972,0.005414632
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/29/1972,0.005182238
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/30/1972,-0.008400759
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/28/1972,0.011606181
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1972,0.009120607
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1972,-0.003850206
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1972,0.009040057
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1972,-0.002837387
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/29/1972,0.003191871
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1972,0.005395171
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1972,0.007623202
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/29/1972,-0.000404012
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1973,-0.000382061
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1973,-0.001670264
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/30/1973,-0.000207509
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1973,0.008743646
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1973,0.002781663
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/29/1973,0.001045477
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1973,-0.012296574
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1973,0.013496043
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/28/1973,0.024420161
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1973,0.005256842
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1973,0.00635888
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1973,0.00415403
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1974,0.006815477
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1974,0.002981982
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/29/1974,-0.012053399
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1974,-0.003607063
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1974,0.011032048
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/28/1974,0.00126559
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1974,0.0038709
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/30/1974,0.003858186
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1974,0.020212846
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1974,0.010555828
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/29/1974,0.01613972
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1974,0.009918542
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1975,0.014768186
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1975,0.013981387
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1975,-0.002641783
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1975,-0.008406192
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/30/1975,0.019274784
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1975,0.000172306
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1975,-0.002718764
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/29/1975,0.006904978
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1975,-0.001290201
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1975,0.027629653
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/28/1975,0.000278696
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1975,0.017405455
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/30/1976,0.011426248
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/27/1976,-0.000372408
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1976,0.008584761
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1976,0.0081945
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/28/1976,-0.008542166
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1976,0.013593827
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/30/1976,0.010259571
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1976,0.010589109
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1976,0.01041431
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/29/1976,0.010736856
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1976,0.018623118
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1976,0.005641979
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1977,-0.010381115
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1977,0.006748366
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1977,0.006584653
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/29/1977,0.005251665
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1977,0.004665387
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1977,0.007566065
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/29/1977,-0.003148889
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1977,0.005664652
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1977,0.000239099
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1977,-0.00037787
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1977,0.007792381
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/30/1977,0.004035881
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1978,0.001847374
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1978,0.003517346
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1978,0.004402577
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/28/1978,0.002902846
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1978,0.001153538
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1978,-0.000165107
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1978,0.008860355
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1978,0.008153676
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/29/1978,0.002774277
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1978,-0.010399692
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1978,0.005933838
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/29/1978,-0.002708181
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1979,0.016050433
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1979,0.003793906
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/30/1979,0.008002975
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1979,0.004556339
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1979,0.014858156
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/29/1979,0.018820004
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1979,0.001616465
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1979,-0.001524836
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/28/1979,-0.000873786
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1979,-0.028014033
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1979,0.029622267
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1979,0.005072035
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1980,-0.00047058
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/29/1980,-0.046289903
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1980,0.008450654
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1980,0.091788901
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/30/1980,0.033281772
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1980,0.008570245
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1980,-0.002555127
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/29/1980,-0.025907702
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1980,-0.000688963
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1980,-0.006763787
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/28/1980,-0.003703652
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1980,0.028220218
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/30/1981,0.00464959
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/27/1981,-0.003213891
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1981,0.023015981
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1981,-0.017734432
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/29/1981,0.01350286
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1981,0.014374271
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1981,-0.010647422
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1981,-0.003434699
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1981,0.010456458
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/30/1981,0.043606684
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1981,0.056041161
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1981,-0.019858757
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/29/1982,0.004129902
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/26/1982,0.01324798
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1982,0.008153574
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1982,0.019442386
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/28/1982,0.018930651
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1982,-0.009165221
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/30/1982,0.037122028
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1982,0.032451999
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1982,0.024732188
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/29/1982,0.031667805
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1982,0.012578252
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1982,0.016005065
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1983,0.005896935
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1983,0.014815233
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1983,-0.000840998
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/29/1983,0.016829894
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1983,-0.003347749
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1983,0.003973294
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/29/1983,-0.005445148
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1983,0.007396159
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1983,0.021574541
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1983,0.008323766
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1983,0.008665935
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/30/1983,0.004820193
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1984,0.01475332
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/29/1984,0.00135864
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/30/1984,-0.001560345
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1984,0.00531488
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1984,-0.009516546
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/29/1984,0.007512063
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1984,0.021835101
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1984,0.009116735
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/28/1984,0.017707482
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1984,0.028769069
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1984,0.019768393
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1984,0.017186066
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1985,0.013025635
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1985,-0.004950752
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/29/1985,0.012323206
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1985,0.017968818
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/31/1985,0.030331282
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/28/1985,0.011649203
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1985,0.002928643
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/30/1985,0.011786765
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1985,0.008951561
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1985,0.01243372
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/29/1985,0.012695937
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1985,0.016590228
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/31/1986,0.006488663
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/28/1986,0.012560918
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1986,0.020999029
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1986,0.006088408
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/30/1986,-0.003672331
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1986,0.017050979
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1986,0.011862158
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/29/1986,0.01952634
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1986,-0.002834843
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/31/1986,0.010387401
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/28/1986,0.006875165
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1986,0.001766556
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/30/1987,0.007566989
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/27/1987,0.004973238
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1987,0.001178277
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,4/30/1987,-0.010393579
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,5/29/1987,0.000684916
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,6/30/1987,0.011950715
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,7/31/1987,0.004469762
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,8/31/1987,0.000344695
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,9/30/1987,-0.006341871
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,10/30/1987,0.02434759
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,11/30/1987,0.007579166
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,12/31/1987,0.007266247
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,1/29/1988,0.017147213
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,2/29/1988,0.008362976
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,3/31/1988,0.001498548
